album_id	album_type	album_name	release_date	total_tracks	track_id	track_name	Genre	Language	duration_ms	popularity	is_explicit	artist_id	artist_name	Label
2b2GHWESCWEuHiCZ2Skedp	single	Calm Down with Selena Gomez	8/25/2022	1	0WtM2NBVQNNJLh6scP13H8	Calm Down with Selena Gomez			239317	92	FALSE	46pWGuE3dSwY3bMMXGBvVS	Rema	
37iaWiKMa9YBbEDlw5c3Qh	single	Calm Down	2/10/2022	2	6hgoYQDUcPyCz7LcTUHKxa	Calm Down			219813	84	FALSE	46pWGuE3dSwY3bMMXGBvVS	Rema	
0xrTH9uvOL1BoFAOR61zTG	album	Rave & Roses	3/24/2022	16	3BnDvpeuGOj21Ir2aVEtQo	Calm Down			219668	78	FALSE	46pWGuE3dSwY3bMMXGBvVS	Rema	
2VCktFoUnK5hwTN121atAK	compilation	Autumn Vibes 2022	10/20/2022	74	2La20I4ZTM3rMCQdiGdWGO	Calm Down			219813	0	FALSE	46pWGuE3dSwY3bMMXGBvVS	Rema	
6jXF2xbdN3fkzeixf9664N	compilation	Good Mood Music	7/1/2022	53	0VT0pD48jzdje9AktC2Vgv	Calm Down			219813	27	FALSE	46pWGuE3dSwY3bMMXGBvVS	Rema	
1td48rqkgDtJLiccwtupJX	single	Calm down live performance	6/26/2022	1	6AYQL49wmPGTXL7Grov5Dw	Calm down live performance			233766	18	FALSE	5hy7XlDEiFzNtedPUili75	Remaa	
3ITs3pleuLG2AD2L9TwCvD	compilation	Mega Hits Sommer 2022	6/17/2022	103	4unygxfdcEb0ULRyZTSqXG	Calm Down			219813	8	FALSE	46pWGuE3dSwY3bMMXGBvVS	Rema	
661GmzArAkjQC9vA2LlmQ2	compilation	Urlaubshits 2022	7/27/2022	55	7bB7HNYh4nRHixa7bNSnCH	Calm Down			219813	7	FALSE	46pWGuE3dSwY3bMMXGBvVS	Rema	
7eaJhU3GeMd3pHgXihrHXn	compilation	Hits Automne 2022	9/29/2022	22	0PQYyoNW1v67GC3mEuG057	Calm Down			219813	8	FALSE	46pWGuE3dSwY3bMMXGBvVS	Rema	
1Kst9aD41T5jKOEWwJwNNG	compilation	Mega Hits Summer 2022	6/28/2022	129	5FMmTVPA3up1QVtw3r0DIi	Calm Down			219813	7	FALSE	46pWGuE3dSwY3bMMXGBvVS	Rema	
185hd3jXIw7fc1ZhP1srAm	compilation	Hits Vacances Eté 2022	8/10/2022	22	67r2hVVzuYdOFNA4W53cZe	Calm Down			219813	8	FALSE	46pWGuE3dSwY3bMMXGBvVS	Rema	
6IQfb8wOvzuqug8kIMzSjT	compilation	TikTock Music 2022	8/19/2022	50	3tStTYqWutcFnDmaDD0WuU	Calm Down			219813	9	FALSE	46pWGuE3dSwY3bMMXGBvVS	Rema	
4gZwLnAcogO3osy0HTCOXU	compilation	Tik Tock 2022	9/29/2022	42	0aSCb79SZqMCHmnUfV0qHx	Calm Down			219813	7	FALSE	46pWGuE3dSwY3bMMXGBvVS	Rema	
3a0YBlMNCXxiJ70OIAw6P2	compilation	Best Hits 2022	8/2/2022	113	2GzNQpxuSsR6FI2QhMDsqU	Calm Down			219813	14	FALSE	5gIKdggxXtjoJ8jsHv2ypp	Rema	
0NrACYymhXAdxYdyRxyfwA	compilation	Trending Fall Hits 2022	8/16/2022	28	1kQnk1vengIfrjGFKAcynr	Calm Down			219813	4	FALSE	46pWGuE3dSwY3bMMXGBvVS	Rema	
0984MIZHEDGUbvFYwAxh1b	compilation	Hits Eté 2022	8/8/2022	22	211qddcrFDzBGwPQRjEQOM	Calm Down			219813	13	FALSE	46pWGuE3dSwY3bMMXGBvVS	Rema	
2d2BMV8pz7zdA9ZG3WZPgR	compilation	Latino Summer Hits 2022	5/26/2022	34	4zNORglBui0e9N7O7bE8dF	Calm Down			219813	21	FALSE	46pWGuE3dSwY3bMMXGBvVS	Rema	
11Q3kyb4tZp011rywQrMGB	compilation	Release Round Up Vol.2	8/31/2022	28	11aiqD8yhWn7VQtt78tWFQ	Calm Down			219813	6	FALSE	46pWGuE3dSwY3bMMXGBvVS	Rema	
6ALinXowLle2U86TMN3XU9	compilation	Vacation Vibes	7/27/2022	73	5ZXD6Ph2bTeVMjAZyLLPmU	Calm Down			219813	1	FALSE	46pWGuE3dSwY3bMMXGBvVS	Rema	
54nQkxKryL6GtbCDfc6eP6	compilation	Heatwave | Summer hits 2022	8/22/2022	17	1WYCVzb3P0TVo8OyhGnFSh	Calm Down			219813	1	FALSE	46pWGuE3dSwY3bMMXGBvVS	Rema	
1omBU14ofdaY59TIPxGawu	compilation	She Kissed Me First | Pride Month 2022	6/6/2022	13	4GMEkvAK09on4nsWGEeHQS	Calm Down			219813	2	FALSE	46pWGuE3dSwY3bMMXGBvVS	Rema	
4xUoqch7rlGySYOMXbS1Pg	compilation	Beach Party Eté 2022	8/8/2022	22	3pnSGsofSy0MPPMThnRdMm	Calm Down			219813	7	FALSE	46pWGuE3dSwY3bMMXGBvVS	Rema	
0WJxVuGmrwBYoKLluRvdvd	compilation	Alternativo para las buenas vibras	7/26/2022	30	7MnIx8LVpHODlXnhztjijg	Calm Down			219813	4	FALSE	46pWGuE3dSwY3bMMXGBvVS	Rema	
7AmpZS97qP2ww6O5CC6CuN	compilation	TickTok Back To School 2022	10/7/2022	34	1irdDS2FXugKj1IRobIogk	Calm Down			219813	2	FALSE	46pWGuE3dSwY3bMMXGBvVS	Rema	
5mbbmfczHTgC5YCZseIITr	compilation	Zomer Hits 2022 | Hittegolf	8/22/2022	24	4HrtlU1bpvW4XZM72VdMDn	Calm Down			219813	7	FALSE	46pWGuE3dSwY3bMMXGBvVS	Rema	
