,album_id,album_type,album_name,release_date,total_tracks,track_id,track_name,Genre,Language,duration_ms,popularity,is_explicit,artist_id,artist_name,Label
60,1jx1N5wcno5jca5lQjuGrr,compilation,Release Round Up Vol.1,2022-08-19,50,4R1ErqGv5SbSVxItEexzyG,I Like You (A Happier Song),Pop-rap,,192840,5,True,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
61,5jjzXc8RP9aemMAcgcasSU,compilation,Magical Summer 2022,2022-06-23,25,4vCnASYdQpBW1EvUhN2TH7,I Like You (A Happier Song),Pop-rap,,192840,6,True,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
62,3a0YBlMNCXxiJ70OIAw6P2,compilation,Best Hits 2022,2022-08-02,113,6MRPhOWYKQhzB0YQtD6EPb,I Like You (A Happier Song),Pop-rap,,192840,6,True,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
63,5gISGRLAAe5eQWOjoUV6Tw,compilation,Day & Night Songs,2022-09-15,28,4kuL4bMqxOkVEY437O72oW,I Like You (A Happier Song),Pop-rap,,192840,4,True,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
64,2ORO3nNnFXxsvz9Pcd9RdI,single,You Proof,2022-05-13,1,5uU1uuyaUIBOiiUSQG7Wl3,You Proof,Country,,157477,86,False,4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,"Big Loud, Republic, Mercury"
65,04PEOM6kIEeq9lRp1asNP2,single,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",2022-05-13,1,4h9wh7iOZ0GGn8QVp4RAOB,I Ain't Worried,"Pop rock, sunshine pop",,148485,96,False,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,"Mosley, Interscope"
66,2TTQONBs9xOxCD8PQ14Gi9,compilation,Arbeitsmusik Herbst/Winter 2022/2023,2022-10-20,84,3ro6Oub0I05PiAxcZFKaTY,I Ain't Worried,"Pop rock, sunshine pop",,148485,0,False,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,"Mosley, Interscope"
67,58Q66K2xnBiyq8fFq0hgYW,compilation,Frühstücksmusik Herbst/Winter 2022/2023,2022-10-20,92,6v2ngdpwmKNqoojSbkmYQ6,I Ain't Worried,"Pop rock, sunshine pop",,148485,0,False,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,"Mosley, Interscope"
68,3tjIKRAPBy5Qu4z8F5HmBz,album,Top Gun: Maverick (Music From The Motion Picture),2022-05-27,12,73PAbYaVbnFG0tQ4aBfxeN,I Ain't Worried,"Pop rock, sunshine pop",,148485,73,False,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,"Mosley, Interscope"
69,7lR2Xqpmvr2r05DQENflBG,single,"I Ain’t Worried - Acoustic (Music From The Motion Picture ""Top Gun: Maverick"")",2022-08-05,1,29kUiQdEvB9q7joHiYZNJ3,I Ain’t Worried - Acoustic,,,149233,67,False,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,
70,0984MIZHEDGUbvFYwAxh1b,compilation,Hits Eté 2022,2022-08-08,22,1rst6xvbC4CdpqQ9r8PI9c,I Ain't Worried,"Pop rock, sunshine pop",,148485,10,False,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,"Mosley, Interscope"
71,4PqRAdmUUpL57Do8Ycx4qn,compilation,Viral Gaming 2022,2022-07-26,25,5BHJqy1mItdMEJm71uuAWT,I Ain't Worried,"Pop rock, sunshine pop",,148485,12,False,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,"Mosley, Interscope"
72,0mg8lymflVvc7TqMQGd4Ns,compilation,Imagine Pop,2022-09-30,38,5c4wn5LJKG2vUb9l3LvV5c,I Ain't Worried,"Pop rock, sunshine pop",,148485,10,False,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,"Mosley, Interscope"
73,3sYwsCJwPSd35QWlyPv3IV,compilation,Pool Party 2022,2022-08-09,20,5A089ApRl5nk7oDhr6ZuN4,I Ain't Worried,"Pop rock, sunshine pop",,148485,6,False,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,"Mosley, Interscope"
74,1m5xOJZ1NpyQWN2OWZwcud,compilation,Mix Happy Pop,2022-09-23,29,1oNQ1Udv3AM06vhkRbti8I,I Ain't Worried,"Pop rock, sunshine pop",,148485,7,False,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,"Mosley, Interscope"
75,1ZfJoIH7xVP4DvFy2roaN9,compilation,Best of 2022,2022-10-04,24,3zJwsBrtkDmKfCY317E94W,I Ain't Worried,"Pop rock, sunshine pop",,148485,8,False,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,"Mosley, Interscope"
76,2MpQeamYksmsex06YtHqkw,compilation,Pop y buenas vibras,2022-09-16,37,1av5EE7BaOTElpfCEe3iT0,I Ain't Worried,"Pop rock, sunshine pop",,148485,6,False,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,"Mosley, Interscope"
77,4uOLu2zxCzVcKqjZPdBKYL,compilation,Pop Rock Hits Automne 2022,2022-09-23,18,6HRrHDtUJYeH1XgJbjyazG,I Ain't Worried,"Pop rock, sunshine pop",,148485,7,False,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,"Mosley, Interscope"
78,245V9gy6OtfgQ4Dzi1LTQR,compilation,Pop para las buena energías,2022-08-05,31,4esQgV3K23FduohN0hGrlJ,I Ain't Worried,"Pop rock, sunshine pop",,148485,9,False,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,"Mosley, Interscope"
79,5N7ye6AWBnGoCeujSFYgDY,compilation,Music Juice Vol.1,2022-08-19,30,0nLBl0urx1JAmKAYf2Qlx0,I Ain't Worried,"Pop rock, sunshine pop",,148485,5,False,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,"Mosley, Interscope"
80,5LYKJlaZRQ6j3ShK7thjd1,compilation,Hits France 2022 Vol.4,2022-09-16,22,0M4mFkVcrOEv1FaQ4u9iM4,I Ain't Worried,"Pop rock, sunshine pop",,148485,6,False,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,"Mosley, Interscope"
81,4YeDJ4JoEvnMzMYMpHpQh7,compilation,Hits France 2022 Vol.3,2022-08-08,23,6MGUs1co59LBWi6yqvJNyx,I Ain't Worried,"Pop rock, sunshine pop",,148485,3,False,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,"Mosley, Interscope"
82,7AmpZS97qP2ww6O5CC6CuN,compilation,TickTok Back To School 2022,2022-10-07,34,7EKylE34yNJV97yIYgwwTl,I Ain't Worried,"Pop rock, sunshine pop",,148485,2,False,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,"Mosley, Interscope"
83,28zpK5z1YH4xqULb5YFe2F,compilation,Pop para pasar el Tráfico,2022-09-30,35,6NIZWIazNnZiV5DRotMnjN,I Ain't Worried,"Pop rock, sunshine pop",,148485,6,False,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,"Mosley, Interscope"
84,52MrLdviYqo0zlOUZv5QCm,compilation,Summer Pop Rock Hits,2022-08-31,20,7qvuhftEb2X9rmcDSO6JZR,I Ain't Worried,"Pop rock, sunshine pop",,148485,9,False,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,"Mosley, Interscope"
